16 32 32 32

11:00000000000000000000000000000000,01000110000000001110001000000001,01111011000000011000000111000000,00010110110000000101010111000000,01000111111110000100000001100000,00000010010111111011100001011100,00000110110001111101110001001000,00000110100000000010000000001000,00011100000000000011001010010100,01011101000000000110000100010011,00001110001100001110000000010011,01010111001100000000011000000111,00000000011101011001100001001000,00000110100001001001100001000000,00011011010000011000000000000001,00010001010000001000010010000000,00001001010011000100001100001000,01000110000111000010100000000101,00100000000011000010111100000001,00000001111111100001000000000001,01100011100100100010100000110010,00100111101110011000100001101100,00000101010110000010100000101000,00000100110110000100000000000100,00100000111011000000000001101100,01011111000010111000000000000000,01111010010011100001110001110000,00000000010001100001100001011000,00000110010100100111010000001000,01100100000000010000000000001000,00010100111000010100000000101000,01000000101000000001100001011111
12:00000000000000000000000000000000,01110001000000011100001000000011,00111000110000000000001010000000,00011010110000000000011111000000,01001011010110010000000001011100,00001111000001000111110001111100,00000110000111111000110000100000,00000000000000000101001000000000,00010000000000000111000110100100,00100000000000000100000101000000,00000000001100001111111110100000,00010010000110000000000010010100,01000000000111011000100000111000,00000101000011001000100000000000,01101101001001000101110000000000,01011011001000000111101000000100,00111001001110001110110110000100,01000010000000000010110000000100,00100000101000000001100000000110,00000000001010000000010000000011,01010001000110100000010000010000,00100110001011111001110001110100,00000000011010010111100011011100,00000100000000111100011101000011,01011101000000010000011101101001,01011000000000011000011100000001,01010110000000010011100001001000,01110000010000010011010011011000,01100110010100100101000000011000,00110101111000001000000010010000,00100000001001100000001101000000,01101001001000000001111111100111
13:00000000000000000000000000000000,01011100010100110000001001011100,00111100010001111010110011101100,00110101110000011100011011111100,01001011101110100110000011100000,00000000000101001011010011111100,00000000000000011001001110100000,00000000000000000001001110000000,00000000000000001001000111101000,00110000000000001000001000100000,00000000010010001111110100000000,00000000001010010011000000010000,00000000000111000110100001010010,01111101000001011001010001000010,00001101100110010111010000010111,01000010100101010100111000110010,00010111000101010010001010101000,00000000000110111010100011111111,00100000110000010001100000011101,01011000100000010000100100010001,01000101000100010001000000111111,01001111011010010001000001111110,00011101011011010111110110101100,00101101100001101010001101100000,01010100000000001100011100100100,01010110000110000000011000000100,01010100000001011100010101000100,00111001110000000101010011001000,01010000110010000001110000011000,00000101111001000000011100011000,01100010010001000000000000000000,00010001110101000000111111000000
14:00000000000000000000000000000000,01110000110010010000100100010010,01111100110001011010110000000001,00111011110000000111100011001011,01010001111000000011010001101010,00001110000000101100001100100000,00000000000000010010001111100000,01100000000000000010000001000000,01000001000110000001000101110000,00100001111001010110101100010000,01010000000001100010001000000000,00001000101001000000011000111010,00000100000101000001010001001000,00000010000100001011110011000000,01001011000100001110101111000000,01100100000000000100100010000000,01100000000011100101100010100010,00000010010000111001110111111000,00000100010000000000011100110100,01000100000000010000001000001000,00000000001100110001000001011011,00000011101011000001000001001101,01000000110000000010100011111110,01000110001000000111001000100000,01000100000000010100011100111100,01000100000001100000000100100100,01101100000010111100011100100000,00111001000011100101011110101000,01110101101001011001100110010000,01110000010001010000100000010000,01000001110001000000111000000000,01000001100011000000100000000100
15:00000000000000000000000000000000,00000000011000110000000000010010,00000000011111100001000000110001,00100101111111000000000100111011,01011111001000000011011111011011,01101000111000000110001111100000,00000000100000001000010100110000,01100011000000001010011100000000,01000100101001000000110010110000,01000011110001111001101101100000,01011100100001100010001101111110,00001100101110000000011100001010,00000100101101100000101010001000,00000100001100000011011011001010,01100010001100000011101110000111,01011001001000000111100010111000,01000000000001000111100111110000,00000001110001010111100110100000,00001000110000011000000110100100,00000100001100010000001010000100,01000100000001110001110001000001,00000000000000000101100000000001,00000010001000000011000000110101,00000010011100000110000000110100,00100010000000000000011000001000,01010011010110000000011100011000,01001000100101100100010100101001,01101000101100100111000001000000,01001101110011000000111010010000,00101000100111100100000000010000,00100000111110000011111010010000,00000001100111000000001011101000
16:00000000000000000000000000000000,00111000100011111000010111000000,00000001001100111111010110000001,01000010111000010000000001111111,00000010010000011011011001000011,00001111110000001010000100111100,00001111110000001000000100101100,01100110011000001000001000010000,01111110000000001000000100101000,01010000000000001101011001110000,00011111010000100000001000001010,01111111001100000000010001000000,01000010001101101000110000000000,01100010000000011010010000000000,00000001110000001001100000000011,01011001101000001001000001101001,01000000111010010100000101000000,00000010001011001111100011100000,00000001011111000110000100000000,01111001010011000000000011111100,01000000000100000100000011100010,00000110001100001000000000000100,01000110001000001010000000111111,01000110000000000010000000001010,01000000000000001000000001000001,00011110110000001000010000100010,01010100000101011011001100011011,01000001111100100000100101001000,01100010110110001000000100011000,00000000101100001001100000010000,01100001101000001110001100000000,01110010110000000000000000000110
17:00000000000000000000000000000000,00011010010010011011111111000000,00000001011111011001010100001000,00000001000011010000000111011100,00000000000010110100000100100100,00000100001000100000000100000000,00001010001000000000011110110010,01101000000000001000111111110110,00111010000001110100011010000000,00011000000001111101001000000000,00011110000001110010100000110110,00011011000110011000110000001100,00101001100111011011100000000000,00000000010000011100010000000000,01001110001000011100100000000101,00000101000001110111100010001111,00100100100110010000111110000011,00100001110100001000000011100000,00000000111111000010000001111000,01100000100010111100000011001011,00100010000110110010000010001100,01010100000110001010000001110000,01000110000000000010000001011111,01100100000010000010000100000101,01010000000000000010000101000100,00000010101010001100000001100000,01010000000000000101010001100001,01000011000000000011101001010011,01110000110001101101111010011111,00100011000001010100001010001110,01000010000000110110000010010110,00110000000010110010011100011100
18:00000000000000000000000000000000,00110101111011011000000010000000,00011001011001011111010010000000,00000001011011001000001010000000,00011001001110111000000010001000,00011011110001110110000001001001,00010010011001010001000011000001,00010010100101110100000011110001,00111100100000001100000011100000,01111100001100011111101011000000,00110100001111011100000001100000,00000100000111001000000001001110,00010000101111011000000000000000,00000001100111100011000000000000,00000110110000000111000000000111,00001000011110000111111000000101,00000110111110001000111010001100,00110111011100000000010100001001,00000001001001000111100110000000,00000011100110000000100010001000,00000010000000110011100010000000,00000001000000011000000001110000,00011110001000000100010001000000,00000010000001001011000101000011,01000000000110001011000011100100,01000011000100100011000001010011,01010010110010010010110001100011,00000111000001000000101001010101,00000000001001110001000100011100,00000111001001100010000100011110,01110001001000110000001100010100,01010100100000001001001000000000
19:00000000000000000000000000000000,01111111000110010100001000001100,00011000000000011110111100000110,00011101111011111001100000000101,00010000000011111000000000000100,00011000100010001100000001001000,00010000101010101000000111001000,00000001011000101001001101101101,01001011111100111000100100010011,00110000100101110000000100000001,01111100001111110011000010000001,01111000000101000100000001011110,00000000101101001000000000000001,00000000000101110010000000000001,00000001111000000010000000001001,00100100001000001110001100001101,00101100100000011000000000001110,00101100100000000100011001010001,00001011000110001110000000000000,00000010000001011001100000000100,00001100000010010100010110001000,00001110000000110011111110000000,00100000001000000011010100100000,01111110001000100011000100000000,00000010001010000100000000000010,00100101001000111100000000000010,00110100101000111100000000000010,01110000101111000011111000000011,01100011000101111111000101100011,00000101101010100001000100100010,00100011100001110111001100100100,00000100100001010000010010100000
20:00000000000000000000000000000000,00111100000011000100001000011100,00001001010110001001100110011100,00001000101010010011000110000001,00001000001110110100010010001000,00000000100000110000000000010000,00010001100000100000001000000000,01000001101000010110001000000000,00100001100010111001101101101001,00011000100001111001000100011000,00001000100011110010000110000000,01111000101111111100000001110011,00000010111100000000000001110000,00000010000100000000000001100000,00000010000100000000000001010000,00001100000110001010001000010000,00001100011110001000011011001000,00001000100000000010001000010001,00000011000100001100001000011001,00000000000000001110000000000100,00000000001010000001110100001101,00011000001001111011011100000101,00011010000001111011110100010000,00100010001011110110000010010000,00000010000100000100000100111110,00100101100000001100000000000100,00110000100000100111010000000100,00100000011000111001111111000011,01010101111000011000000001100011,00001110011000000000000001000010,01000000010011110000000010001111,01101100010010101000000000001111
21:00000000000000000000000000000000,00010000000010100011110000100100,00000101110000010000101000101101,01001000001000000010001010110010,01000000000010000100010110111000,00000000000001000000001111100000,00000000011011010000001101110001,00000000001010010010001100000110,00000100010000000011010110101110,01001100010000011001001100011010,00001100010000000010010110000000,00001100100100001011110000001011,00000000100000000000110001011000,00000001000000001010110011100000,00000010000110000000011111000100,00000000000100001000110000010000,00001000011110100000010000000000,00001101101100001110000101110010,00000000010000001000000111110011,00000100100100010100001100001100,00011000000100000000110111001011,00011000110000100011010110000010,00111010000000100101111010001110,00100001101101100010001000001001,00100001100010001100011111011101,00000101101111001100000000001110,01111011110000100000100000000010,01100000001001110101100110000000,00011101001000000010000000000000,00001101110100011110011001000011,01000110010010010000010000000111,01111110000000101100000000111111
22:00000000000000000000000000000000,00101110010010011000001010000000,01110010010110000110000100111000,00111000010100010110000100011001,00100001110100110000010110011110,00011011111000000111001110000010,00010011101100001000111001100000,00000000001110001111111100001100,01010000011000000101100110111000,01100000011000000011100001010001,00000000000000000100100000000100,00000000110100000000111110001010,00000000010010000000010111111010,00000000100100001110111111100000,00000110000110111110111111000000,00001110001100000010010000000000,00001011000110000000100000000000,00000000001100000000000001000001,00000000010010001000000000110010,01000000000000011000000110000100,00011000001100010000001001101010,00001000111000000000110000110000,00100011100000000111111110100011,00100010001100000001011111000111,01100000000110001010011101000010,01100001101101001110011001010110,00011101111000110001011000111000,00011011100100101011101100011000,00011100000100001010110001000000,00011100100000000011101111100110,00001101100010001100100000111101,01000010011000000011110000000111
23:00000000000000000000000000000000,00000010010110110001000010000100,01110010010110111000001010101010,00111110011000001000001100001001,00000011001010110000100110000000,01000011000111111110001111011100,00011011111110101110110000000000,00000000001010110001110000000100,00110010000000000000100100010000,00010011000000000111100001000001,00010001011000000000110011000000,00000000110010000111110000000100,00000000000000001111000001011101,00000000011110000000010100010000,01110111001000010001000000000000,00110001001000000101110111000000,00110010011011000000000000000000,00111000001101100001000001000000,01111111100001101001000010010001,01111111001000100100000010010100,01011111100000000100010011000010,00001000010000100100110000000000,01000011110000011011010100010101,01100010011010001001011000110000,01100100011110001101011000100000,00011100101110000101000000110100,01000000011000110001110000100100,00111110010000100100000100001000,00010000101000101101011000010000,01110000111000011110101000110000,00000001001000000011001101100000,00000110010000000011100001001000
24:00000000000000000000000000000000,00011100010100101000000010100110,00000011010110001000001101000010,01000000100100000000010000101000,00011000110110000000100010000001,00001101101110000110011000000001,01100011111010010110000000110000,00101011110011010001111001100100,00000110100000111000000110000000,00100000000000001100000010010010,00111000010110001000111110010000,00000000110000000110001101111101,00000000001100001110000111001001,00000000000000010000000110110001,00010110000000110000000000000000,00000000000111100010110011000000,00010110000011101001110000000000,00011111000011111001110001000000,00010000000000000001110110111111,01001110000000011101110110001100,00000001010000010110111101001010,01000000010000010111111100011110,01101010001000000011111100010111,01000010000000001100011000010010,01001100000000001100100000110000,01001101010000001001100000000000,00100110100000110001100011000111,00100010011000000100111100001000,00000001110001000110011111010100,00100001010000000100011110101100,00000001010000000010001101100011,00011100010000000001110000100011
